,BREED_ID,PET_ID,GENDER,NEUTER_DATE,VISIT_DATE,VISIT_AGE,WEIGHT,BCS_RECORDED,BCS_PREDICTED,PREVENTIVE_CARE_VISIT,HEALTHY_PET_DIAGNOSIS,AV_BREED_WEIGHT,Age (Days),Age (Weeks)
5942796,1,26062,FS,2011-11-02,2011-06-29T04:00:00Z,0.153,6.985,None,None,Y,N,54.216,55.08,7.9559999999999995
5845594,1,6787,FS,2003-06-26,2003-06-10T04:00:00Z,0.421,29.937,None,None,Y,Y,54.216,151.56,21.892
5901789,1,18468,MN,2009-08-14,2009-08-14T04:00:00Z,0.658,53.07,None,None,N,N,54.216,236.88000000000002,34.216
5899691,1,18040,FS,2009-04-08,2009-04-08T04:00:00Z,0.48,29.846,None,None,N,N,54.216,172.79999999999998,24.96
5863892,1,10429,MN,2004-09-10,2004-10-05T04:00:00Z,0.949,54.204,None,None,N,N,54.216,341.64,49.348
5863525,1,10347,MN,2005-04-18,2004-12-13T05:00:00Z,0.155,8.255,None,None,Y,N,54.216,55.8,8.06
5948110,1,27100,FS,2012-01-24,2012-01-24T05:00:00Z,0.446,25.038,None,None,N,Y,54.216,160.56,23.192
5945980,1,26697,MN,2011-11-29,2011-11-29T05:00:00Z,0.509,32.749,None,None,N,N,54.216,183.24,26.468
5871813,1,12099,MN,2006-11-21,2006-10-30T05:00:00Z,0.407,17.735,None,None,Y,N,54.216,146.51999999999998,21.163999999999998
5858795,1,9462,FS,Unknown,1997-05-10T04:00:00Z,0.659,47.264,None,None,Y,Y,54.216,237.24,34.268
5901406,1,18377,MN,2009-07-10,2009-02-26T05:00:00Z,0.325,21.682,None,None,Y,Y,54.216,117.0,16.900000000000002
5912370,1,20507,MN,2010-02-17,2009-10-13T04:00:00Z,0.174,7.711,None,None,N,N,54.216,62.63999999999999,9.048
5913883,1,20791,MN,2010-01-11,2009-12-20T05:00:00Z,0.311,22.09,None,None,Y,Y,54.216,111.96,16.172
5910116,1,20074,MN,2011-10-14,2011-10-14T04:00:00Z,2.442,55.61,None,None,N,N,54.216,879.1200000000001,126.98400000000001
5902554,1,18609,M,Unknown,2009-09-29T04:00:00Z,1.327,54.431,None,None,Y,N,54.216,477.71999999999997,69.00399999999999
5827407,1,968,M,Unknown,2004-01-16T05:00:00Z,0.298,21.274,None,None,Y,Y,54.216,107.28,15.495999999999999
5839832,1,5304,FS,2002-03-08,2004-07-17T04:00:00Z,2.72,46.266,None,None,Y,N,54.216,979.2,141.44
5955183,1,28531,FS,Unknown,2012-09-15T04:00:00Z,2.485,52.617,None,None,Y,N,54.216,894.5999999999999,129.22
5850052,1,7709,MN,2004-06-29,2004-06-29T04:00:00Z,0.941,42.411,None,None,N,N,54.216,338.76,48.931999999999995
5827917,1,1148,F,Unknown,1995-05-08T04:00:00Z,0.206,7.257,None,None,Y,N,54.216,74.16,10.712
5860666,1,9795,M,Unknown,1998-07-15T04:00:00Z,0.353,26.444,None,None,Y,Y,54.216,127.08,18.355999999999998
5872235,1,12192,FS,2006-11-21,2008-09-22T04:00:00Z,2.21,48.081,None,None,N,N,54.216,795.6,114.92
5845507,1,6769,FS,Unknown,2004-02-18T05:00:00Z,2.711,43.953,None,None,N,N,54.216,975.9599999999999,140.97199999999998
5832892,1,2870,MN,2002-05-30,2002-07-19T04:00:00Z,0.574,40.823,None,None,N,N,54.216,206.64,29.848
5849248,1,7547,FS,2004-12-04,2006-03-08T05:00:00Z,1.61,50.802,None,None,Y,N,54.216,579.6,83.72
5902532,1,18604,FS,2009-06-01,2009-06-11T04:00:00Z,0.398,25.583,Thin,None,N,N,54.216,143.28,20.696
5956617,1,28820,F,Unknown,2012-04-24T04:00:00Z,0.815,36.242,None,None,Y,N,54.216,293.4,42.379999999999995
5836157,1,4058,M,Unknown,2002-04-05T05:00:00Z,1.497,54.522,None,None,N,N,54.216,538.9200000000001,77.84400000000001
5953323,1,28131,MN,Unknown,2012-04-16T04:00:00Z,2.145,45.087,None,None,Y,N,54.216,772.2,111.54
5941707,1,25842,FS,2011-07-15,2011-07-19T04:00:00Z,0.392,29.03,None,None,N,Y,54.216,141.12,20.384
5946216,1,26738,MN,2011-12-09,2012-09-19T04:00:00Z,1.214,64.773,Normal,None,Y,Y,54.216,437.03999999999996,63.128
5897168,1,17528,M,2009-03-10,2009-03-24T04:00:00Z,0.676,51.165,None,None,N,N,54.216,243.36,35.152
5906656,1,19475,MN,2009-09-01,2009-09-10T04:00:00Z,0.554,46.266,None,None,N,N,54.216,199.44000000000003,28.808000000000003
5910066,1,20063,MN,2009-09-05,2010-09-14T04:00:00Z,1.322,62.959,None,None,N,N,54.216,475.92,68.744
5845182,1,6715,MN,2004-11-04,2005-06-28T04:00:00Z,1.076,38.283,None,None,Y,N,54.216,387.36,55.952000000000005
5837491,1,4533,FS,Unknown,1998-07-18T04:00:00Z,1.246,39.916,None,None,N,N,54.216,448.56,64.792
5925398,1,22846,FS,2010-09-30,2011-03-26T04:00:00Z,0.939,42.683,None,None,N,Y,54.216,338.03999999999996,48.827999999999996
